Date,AAPL,MSFT,GOOGL,NVDA,META,JNJ,PFE,UNH,JPM,BAC,V,KO,PG,MCD,AMZN,XOM,CVX,CAT,HON,T,VZ,TSM,BABA,NVO,SHEL,VALE,ITUB,AMX,FMX,SPY,EFA,EEM,AGG,GLD,XLE
2024-01-31,1187490800,528491200,581871000,9706237000,347235200,138206300,972933500,97043800,231656800,934161500,120405500,293893500,181450200,63834600,954015000,413193000,196854100,55306500,68829724,928708600,523425800,308915700,497617300,96116000,112074655,497992200,371582082,29587000,10186400,1700872500,330239500,595800900,189449700,124735600,762132400
2024-02-29,1161553500,444091200,647623800,11061356000,466206300,158288100,762373700,70448600,154730900,748360100,101434100,284352900,124488100,66472100,1045002200,360901900,163943600,52816900,68798317,728390000,346392800,264486000,401780900,105941600,99939166,476084000,489026481,38218800,15302200,1393307200,265090500,608810200,183195100,118520300,653900800
2024-03-31,1433151800,426445300,672715700,12149218000,279596300,140395800,939083100,82472600,166255900,826724200,122856600,287620200,115517200,64265200,702056800,353953300,175205000,42499000,62006006,713843200,371466900,383687900,270348000,117271100,72126544,554814700,276292590,21798200,15491400,1473501100,308791400,575602000,171183600,162616600,615859200
2024-04-30,1246144100,441083800,659848400,10072334000,437279500,175722600,806890100,120759500,224749100,904458100,147918400,300586700,154783300,80447500,917138300,385735900,166206000,57991800,65887145,895848400,431480100,344521700,312586100,79177500,107437428,705754800,488176053,26779600,18410800,1593138700,350413400,621999400,225145700,254338500,743513000
2024-05-31,1336511300,413780000,542386500,9645174000,282471200,174615700,953935500,72643900,195900400,720885600,171397400,238746100,121094200,76370800,892274700,415960600,150134200,57691200,60198911,645338100,350540700,266618300,487586300,83582700,84067781,484865600,408989545,33910500,13259100,1153206200,245638500,597841200,142883000,141706000,616804600
2024-06-30,1717952100,341717100,460108700,7424176700,226116800,131807200,633849500,89056300,174847900,696786300,178526100,222049700,120334000,73613800,810555700,345560000,150414900,70962200,61845585,660946500,323150600,305445700,237026300,69209700,69210961,486302200,431748458,38747700,12888700,888367600,262469500,537245000,116831200,108735300,526321000
2024-07-31,1153099800,440449200,526128300,6405438600,324005400,151359400,781039500,95463400,197445800,868095500,163924200,257584900,142583100,90738300,868061100,277953800,131087700,58754600,63194222,788845200,412647300,445684600,257038400,92171100,66293894,586743700,368771108,30115500,16012000,1038465500,252837000,555322900,156329800,138673000,565181200
2024-08-31,1122667000,451919000,550739500,8105367800,323379200,150664500,613665800,60428700,172435900,894057800,190346800,311241600,143599900,75093700,971023900,284673400,167717600,54107000,64631662,597151700,322053700,349594500,336436500,90131500,74903874,640019400,520897883,27661300,15296700,1244599000,281380800,569378300,162159500,147220700,580310400
2024-09-30,1232097700,376898100,532543100,6271163200,246415200,120356400,600228100,60936400,206487600,794903800,166276100,306268700,152447100,54827700,764950500,320434700,170337900,54721800,47215879,829499200,462872600,253931200,422048900,78552600,97289840,647254900,425502909,39407100,12915000,1044988300,203316100,678466700,151200500,130608100,652417200
2024-10-31,930736000,440745500,569309100,5627917200,265878300,133026800,785354000,74141000,178337400,722829900,128709800,295543300,146902800,98391200,733878800,302678700,141443600,49806100,99763391,757657000,381990100,356942700,522385100,108317800,96617113,710567700,482203895,40974800,14744000,976068800,203048900,666154600,188422600,145957700,664425000
2024-11-30,891588300,442306200,529919300,4497414600,237791800,153338600,1024980800,67004700,188851300,776323600,116979100,332043800,149963200,60924200,905835300,290430400,154450700,44098000,104660967,622316700,339620600,245539200,317745000,121015600,90539080,544706800,533769900,35972300,13461700,901760600,249507700,496477000,178516100,152567400,488517000
2024-12-31,977916100,439902400,645610200,4085855200,263222700,177839200,906524100,143931800,181266200,652159200,131685200,391133900,133889900,62467100,760891000,355120300,198418400,38216800,86339302,769579600,372573300,253846600,283559900,170270800,84809113,622127000,782271581,35239100,9333700,1059516700,282311800,525277800,207807600,115478400,547542400
2025-01-31,1200176400,462501200,500334600,5948400800,317914400,192827700,718268600,91231900,209826800,739447500,118031800,323455800,147588500,60387900,652577000,307740300,160866100,46823600,74503210,789543400,531990200,405736700,402622400,189740600,88750549,806271900,556713032,31684100,9123500,995501600,233548800,488670800,153162900,141384500,648700800
2025-02-28,862272300,432448900,629376900,4755230400,298418700,169975800,789050100,103666200,156634700,650240100,117972500,346114000,138223400,68119000,783613700,274851800,124726600,48768400,97839160,759224000,368581400,280718000,829419100,167481000,65764279,630627700,568766452,30516100,11493400,871641300,225324800,517699900,162617500,178992600,561678800
2025-03-31,1115239500,491786600,732152300,6177950300,363413500,186802300,1211689800,93130300,265181900,936464600,162212700,422860900,182481800,78078500,966721800,385645100,198727100,55692200,103810680,978846500,605792400,339020100,475761200,148675300,122997932,628278000,519106394,40040800,10195900,1496591400,329476500,563799000,173294600,181005700,718265800
2025-04-30,1607318600,563144100,842648300,6811006400,451371800,236796700,1215932100,184461200,287378000,1359333800,158344600,408239600,212131900,92033900,1313093300,398115700,241613400,76918600,118798369,902385300,566603900,443428100,605532000,219470000,137970563,862091900,622785277,71769800,17485100,2237015100,485255400,690353600,211039700,354296400,1021321800
2025-05-31,1195728200,476942400,942494200,4756803800,292454900,174251100,962073700,626639300,165122600,822871900,112931000,305519900,150869000,60848800,937262700,327011700,178828000,53023100,89861079,699670400,315529900,281389300,301450200,239163700,75907114,521783000,761372086,57399000,10724100,1402172600,263955300,485428100,174232800,235215100,552228400
2025-06-30,1100409300,401255100,847382400,3821296800,254756800,159004100,750552000,253146000,174361400,775768400,153095400,325005700,163008500,81445500,870687900,410054300,194422500,49656200,64004508,617442400,346881400,215694600,244549200,186234800,109219191,840510800,557925250,53668600,10164300,1495410200,323865000,539253700,187026100,199565100,980030400
2025-07-31,1079935600,396881900,860114400,3596804400,273103200,187621300,883499900,347582600,198593200,906389900,130413900,358545000,196076400,77239800,856016400,317767900,267343800,57521900,85050078,726625100,440198900,263626300,328509600,371108700,89552319,1168986800,621500352,34103500,17632500,1479850800,264056900,512768200,209062500,202604000,711044600
2025-08-31,1218079100,454888500,617570900,3608891200,224528100,174936700,911246200,417776800,148828400,728384200,125791400,271339800,139352500,72279700,877658700,327731800,168114600,68666200,68217526,620791200,325921600,219691700,304400100,418106900,67469512,602913800,660903826,42789800,23357000,1424047400,263849400,484483300,165794900,178573800,609566000
2025-09-30,1265536400,424025500,829465500,3890495300,234427400,180802600,1100895200,274799700,182562300,754239800,131712200,389551900,153921200,65175300,965100000,351985100,163257900,57056500,104748818,638859900,380233000,251136900,530161000,310264700,94828211,588792900,633293131,46500200,18136000,1606348500,331534400,562731400,156048000,301997100,698602000
2025-10-31,1097142200,468447000,729575900,4031017400,411788600,195076400,1410205800,199603000,189429800,762970500,128841800,360044100,169411500,62350200,1196876800,288638900,152938700,73497500,112592983,1441913000,762927200,340274300,392249400,278824400,94722850,832038100,594139432,35343200,10517600,1781815100,334540600,634242500,202473100,553024300,613216000
2025-11-30,877578200,479480700,855278300,4160148300,416306900,174241400,1760347600,155644300,150218700,712127000,120051500,312924500,176389700,63007400,902272800,279417000,161665100,47993300,76568100,953485200,507322700,236901400,282415400,458519700,79209055,558377700,382881797,38279300,5134400,1664668300,305832000,499742000,178454500,209285300,610039000
2025-12-31,924528800,496558500,678208700,3629693700,335266200,176369000,1038202900,135661100,211615600,799396900,139486400,346183600,234367800,72785700,787960400,344720800,180506000,53863200,81081300,748194600,518697200,225506700,172189100,349722400,77644038,677845700,439059582,48868200,10691000,1656188700,426240800,519375100,180905900,232084800,595730900
2026-01-31,1040017300,684062600,621586400,3292228600,364650200,191373400,990465400,232603000,243473900,792437500,170634700,369850400,241975400,62789600,842060400,404204400,264680500,50458600,103204900,985695700,685520200,305589900,309164400,447951200,123334753,893838100,520319500,49978000,9143400,1600537800,424640600,852754300,195575500,524008900,1053992500
2026-02-28,988921000,800257300,809043900,3745445000,255169400,181266300,896926300,174509200,203073100,844412700,165232800,390415400,222010200,70740000,1263271700,418616300,201508000,65153200,73899600,836924600,685788900,240404900,170797100,604339600,106289422,729119000,514949400,54030300,8095000,1614970000,398390400,791459600,169395100,307033000,1015693600
2026-03-31,900035700,745288400,671015800,4027150800,352534000,170394800,921293600,191698300,244150000,973417900,162847700,371623600,252591200,70949100,1009324000,550007100,333913500,59711500,90499800,973581700,596841400,320085000,274878200,423663800,184595860,726476300,698135600,43884700,8394400,2237624600,671955900,1157247100,271307600,346662900,1542283900
2026-04-30,907538500,716519100,564665500,3129548700,339254700,160246000,719204900,191727600,172933500,688858300,143720300,292332000,181962500,65856900,1028513000,421085100,237450100,47822200,80169000,792220700,558004300,283692400,201649600,349802400,176624308,530698500,386560200,35217600,9119300,1196537500,316871400,605866800,184739100,157128700,1007576100
2026-05-31,981286400,698954800,546878600,3324840700,300382900,154320500,715444100,131694300,171046900,730893700,154295500,294637600,164795600,87285100,790289400,351629100,205497100,52636100,85085500,736981000,406261200,258000000,253671700,302460000,152975358,480417800,518466200,27275100,10219400,945132300,285095400,582642100,165158500,120353900,778439000
2026-06-30,847643321,623516031,571031825,2626956858,313574472,132747489,693834695,115748267,154273144,624014186,136366083,300527459,145048510,73440800,770146747,288329655,139504516,50996810,86148911,864316561,418059193,228721702,186872493,219263247,104087508,370160202,378125510,19699740,8686018,1017214926,242510490,556898249,131352118,135162667,589048493
